index,wine_name,wine_country,wine_region,wine_winery,wine_type,wine_grape,wine_image,body,texture,sweetness,acidity,flavor1,flavor2,flavor3
1628,Pauillac (Grand Cru Classé) 1978,France,Pauillac,Château Pichon Baron,Red wine,Blend,https://images.vivino.com/thumbs/-VCSqTjKRqSTHfQDPvG3PA_pb_x600.png,79.4169,80.3424,17.38719,79.6266,oaky,black fruit,earthy
1629,Pignacolusse Rosso 2013,Italy,Venezia Giulia,Jermann,Red wine,Pignolo,https://images.vivino.com/thumbs/mE9Hkc2iR-alx7m4YjYsJA_pb_x600.png,70.07130000000001,60.1725,18.6079,40.9442,oaky,black fruit,earthy
1630,Cavalcante Sangiovese di Toscana 2011,Italy,Toscana,Baroncini,Red wine,Sangiovese,https://images.vivino.com/thumbs/00swevf2gmn9x_150x200.jpg,50.0,50.0,정보 없음,50.0,earthy,정보 없음,정보 없음
1631,Pessac-Léognan (Grand Cru Classé de Graves) 1995,France,Pessac-Léognan,Château La Tour Haut-Brion,Red wine,Blend,https://images.vivino.com/thumbs/arZ3cyOlSo-10JzG8-vhiw_pb_x600.png,79.2041,75.7505,14.02971,78.7475,earthy,oaky,black fruit
1632,Teorema Barbaresco 2016,Italy,Barbaresco,Molino,Red wine,Nebbiolo,https://images.vivino.com/thumbs/mSKe34pRRPC0JXzhiyaLrw_pb_x600.png,72.1681,79.8267,12.15082,92.5,red fruit,earthy,oaky
1633,Reserve Bikavér 2009,Hungary,Szekszárd,Takler,Red wine,Blend,https://images.vivino.com/thumbs/Pu_1ge-BR3-pxZaVdpLghg_pb_x600.png,72.75,69.29140000000001,13.54743,79.4498,black fruit,oaky,red fruit
1634,Pomerol 1989,France,Pomerol,Château Petit-Village,Red wine,Blend,https://images.vivino.com/thumbs/tkcEx6zdSX6vih9gELCR0A_pb_x600.png,80.2713,64.0692,15.19556,59.9198,oaky,black fruit,earthy
1635,Pessac-Léognan (Premier Grand Cru Classé) 1967,France,Pessac-Léognan,Château Haut-Brion,Red wine,Blend,https://images.vivino.com/thumbs/ntGyei3vSEGl5Bz5-wI-TQ_pb_x600.png,76.9558,80.7098,16.79559,80.4792,earthy,oaky,black fruit
1636,Cabernet Franc - Merlot Mas Irene 2010,Spain,Penedès,Parés Baltà,Red wine,Blend,https://images.vivino.com/thumbs/W-xxcAj1SBqkSQFulXJfLA_pb_x600.png,73.417,55.7335,17.6149,55.1022,oaky,black fruit,earthy
1637,La Pialade Côtes du Rhône Rouge 2007,France,Côtes-du-Rhône,Château Rayas,Red wine,Blend,https://images.vivino.com/thumbs/WRi9FBupQw6ciJNFYgOTzw_pb_x600.png,53.7318,45.643,20.1294,61.8554,red fruit,earthy,spices
